booking_no,created_at,journey_date,account_no,provider_code,travel_product,channel,destination,currency_code,total_booking_amount,service_revenue,supplier_cost,booking_state
ID-BK-0000001,2025-11-08,2025-12-26,ID-CUST-0100,ID-SUP-033,OTHER,ONLINE,VN,IDR,7805243.53,981981.6,701869.17,Confirmed
ID-BK-0000002,2025-08-27,2025-09-03,ID-CUST-0234,ID-SUP-052,AIR,ONLINE,CN,IDR,16588681.87,2427523.9,1669592.0,Confirmed
ID-BK-0000003,2026-01-25,2026-02-04,ID-CUST-0260,ID-SUP-042,HOTEL,ONLINE,VN,IDR,10650709.4,1073000.33,785443.94,Confirmed
ID-BK-0000004,2025-04-25,2025-05-10,ID-CUST-0095,ID-SUP-003,OTHER,ONLINE,JP,IDR,24924284.95,2191426.2,1914362.23,Confirmed
ID-BK-0000005,2025-08-18,2025-09-01,ID-CUST-0073,ID-SUP-014,HOTEL,MANUAL,TH,IDR,16368698.07,1915325.27,1599868.11,Confirmed
ID-BK-0000006,2025-04-30,2025-05-12,ID-CUST-0009,ID-SUP-057,HOTEL,MANUAL,CN,IDR,19512669.05,2335938.6,1713345.14,Confirmed
ID-BK-0000007,2025-02-15,2025-02-28,ID-CUST-0205,ID-SUP-066,HOTEL,ONLINE,US,IDR,15038503.3,1803429.79,1016397.66,Confirmed
ID-BK-0000008,2025-10-27,2025-12-14,ID-CUST-0148,ID-SUP-058,OTHER,ONLINE,AU,IDR,43518391.25,6291485.18,5451758.71,Confirmed
ID-BK-0000009,2026-06-06,2026-07-11,ID-CUST-0184,ID-SUP-006,HOTEL,ONLINE,CN,IDR,10073660.09,1495645.18,1070420.2,Confirmed
ID-BK-0000010,2026-08-30,2026-10-08,ID-CUST-0032,ID-SUP-048,AIR,MANUAL,AU,IDR,4643742.68,727175.67,458097.08,Confirmed
ID-BK-0000011,2026-06-02,2026-06-20,ID-CUST-0018,ID-SUP-030,AIR,ONLINE,ID,IDR,61650298.78,4219772.03,3469186.33,Confirmed
ID-BK-0000012,2025-01-16,2025-02-06,ID-CUST-0146,ID-SUP-050,HOTEL,MANUAL,US,IDR,9345745.38,1294414.18,761617.09,Confirmed
ID-BK-0000013,2024-09-11,2024-09-19,ID-CUST-0207,ID-SUP-027,AIR,ONLINE,ID,IDR,4331137.97,379846.88,239308.07,Confirmed
ID-BK-0000014,2026-01-12,2026-01-24,ID-CUST-0140,ID-SUP-039,AIR,ONLINE,VN,IDR,25961336.29,2045310.29,1232787.34,Confirmed
ID-BK-0000015,2025-07-14,2025-08-28,ID-CUST-0149,ID-SUP-058,GROUND,MANUAL,US,IDR,9565130.98,714862.47,406348.99,Confirmed
ID-BK-0000016,2026-05-09,2026-06-09,ID-CUST-0024,ID-SUP-034,HOTEL,ONLINE,JP,IDR,6657104.26,824935.89,712103.13,Confirmed
ID-BK-0000017,2025-04-27,2025-05-21,ID-CUST-0026,ID-SUP-016,AIR,ONLINE,CN,IDR,6962146.67,789357.28,447148.77,Confirmed
ID-BK-0000018,2025-02-02,2025-02-26,ID-CUST-0155,ID-SUP-016,HOTEL,ONLINE,JP,IDR,12426000.45,749259.49,650528.34,Confirmed
ID-BK-0000019,2025-08-06,2025-08-10,ID-CUST-0034,ID-SUP-025,GROUND,ONLINE,GB,IDR,24505661.35,2386715.05,1604102.59,Confirmed
ID-BK-0000020,2026-04-13,2026-04-23,ID-CUST-0034,ID-SUP-020,HOTEL,ONLINE,VN,IDR,9784991.18,1035313.52,750079.36,Confirmed
ID-BK-0000021,2025-08-26,2025-09-20,ID-CUST-0107,ID-SUP-012,OTHER,MANUAL,MY,IDR,2751989.3,214356.27,161394.66,Confirmed
ID-BK-0000022,2026-03-07,2026-03-18,ID-CUST-0030,ID-SUP-063,AIR,MANUAL,SG,IDR,15116144.78,1764254.98,1227410.09,Confirmed
ID-BK-0000023,2025-11-09,2025-11-13,ID-CUST-0128,ID-SUP-060,AIR,ONLINE,GB,IDR,22534696.82,2944031.28,2017756.82,Confirmed
ID-BK-0000024,2026-03-04,2026-04-22,ID-CUST-0195,ID-SUP-038,AIR,ONLINE,JP,IDR,9320368.33,0.0,0.0,Cancelled
ID-BK-0000025,2025-11-25,2025-12-16,ID-CUST-0139,ID-SUP-019,HOTEL,MANUAL,CN,IDR,9319673.86,873318.45,675748.79,Confirmed
ID-BK-0000026,2024-12-04,2024-12-29,ID-CUST-0031,ID-SUP-032,HOTEL,ONLINE,GB,IDR,12044127.31,748715.9,604914.47,Confirmed
ID-BK-0000027,2026-06-29,2026-07-12,ID-CUST-0152,ID-SUP-070,AIR,MANUAL,AU,IDR,46235692.3,3333066.18,2021616.25,Confirmed
ID-BK-0000028,2025-12-21,2026-01-01,ID-CUST-0016,ID-SUP-028,AIR,MANUAL,AU,IDR,21013118.87,1963525.97,1280670.98,Confirmed
ID-BK-0000029,2026-04-29,2026-05-22,ID-CUST-0011,ID-SUP-044,HOTEL,MANUAL,JP,IDR,33544182.04,2494573.17,1781271.48,Confirmed
ID-BK-0000030,2026-03-18,2026-04-04,ID-CUST-0127,ID-SUP-066,HOTEL,MANUAL,TH,IDR,18919572.9,2059525.39,1627462.5,Confirmed
ID-BK-0000031,2025-09-11,2025-09-27,ID-CUST-0192,ID-SUP-024,GROUND,MANUAL,JP,IDR,26308283.99,1988758.31,1101254.59,Confirmed
ID-BK-0000032,2025-02-19,2025-03-05,ID-CUST-0105,ID-SUP-054,GROUND,MANUAL,GB,IDR,10857216.88,1171598.42,980247.94,Confirmed
ID-BK-0000033,2026-08-29,2026-09-26,ID-CUST-0082,ID-SUP-049,HOTEL,MANUAL,CN,IDR,7603188.67,1081907.56,686802.62,Confirmed
ID-BK-0000034,2025-10-14,2025-12-08,ID-CUST-0032,ID-SUP-043,OTHER,ONLINE,TH,IDR,4177281.23,504675.52,368287.88,Confirmed
ID-BK-0000035,2025-05-22,2025-06-05,ID-CUST-0069,ID-SUP-048,AIR,MANUAL,GB,IDR,6267874.63,-937416.07,-687894.08,Refunded
ID-BK-0000036,2024-10-26,2024-11-01,ID-CUST-0042,ID-SUP-049,HOTEL,ONLINE,AU,IDR,28685181.93,4233319.13,3569159.08,Confirmed
ID-BK-0000037,2024-12-15,2025-01-01,ID-CUST-0001,ID-SUP-058,HOTEL,MANUAL,MY,IDR,7062616.13,456157.18,323178.26,Confirmed
