accounting_period,country_code,reported_revenue,reported_cost,reported_transactions,reported_margin
2024-09-01,ID,2079757414.3,1494987791.58,2081,584769622.72
2024-10-01,ID,2065714838.16,1490751154.46,2077,574963683.7
2024-11-01,ID,1960115128.25,1407854016.92,2029,552261111.33
2024-12-01,ID,2164411302.81,1531777501.59,2128,632633801.22
2025-01-01,ID,2173032083.08,1552934788.72,2089,620097294.36
2025-02-01,ID,2002991333.7,1441430892.51,1948,561560441.19
2025-03-01,ID,2075798330.8,1465860125.68,2098,609938205.12
2025-04-01,ID,2150530908.23,1533665855.43,2051,616865052.8
2025-05-01,ID,2200179668.95,1554707918.29,2219,645471750.67
2025-06-01,ID,2099904328.2,1497630998.78,2094,602273329.42
2025-07-01,ID,2014085464.0,1435498729.48,2057,578586734.52
2025-08-01,ID,2255987097.08,1614990199.51,2163,640996897.57
2025-09-01,ID,2085510376.27,1474080399.51,2056,611429976.76
2025-10-01,ID,2099960421.55,1483678590.16,2068,616281831.4
2025-11-01,ID,2076462976.95,1484195679.69,2048,592267297.26
2025-12-01,ID,2176755031.34,1552575119.03,2060,624179912.31
2026-01-01,ID,2013434205.16,1433173383.48,2064,580260821.68
2026-02-01,ID,2052420851.7,1467634327.04,1978,584786524.66
2026-03-01,ID,2041467329.26,1451554899.91,2068,589912429.35
2026-04-01,ID,2143321297.23,1533086724.7,2089,610234572.53
2026-05-01,ID,2104224875.14,1506497315.3,2092,597727559.84
2026-06-01,ID,2018261359.39,1450450944.3,2068,567810415.09
2026-07-01,ID,2231659583.28,1579308151.02,2203,652351432.26
2026-08-01,ID,2174587957.96,1555870385.91,2172,618717572.05
