provider_code,provider_name,provider_type,preferred,provider_status
ID-SUP-001,Synthetic Supplier ID 001,Hotel,Y,Active
ID-SUP-002,Synthetic Supplier ID 002,Travel Service,Y,Active
ID-SUP-003,Synthetic Supplier ID 003,Airline,Y,Active
ID-SUP-004,Synthetic Supplier ID 004,Hotel,Y,Active
ID-SUP-005,Synthetic Supplier ID 005,Airline,Y,Active
ID-SUP-006,Synthetic Supplier ID 006,Travel Service,N,Active
ID-SUP-007,Synthetic Supplier ID 007,Ground Transport,Y,Active
ID-SUP-008,Synthetic Supplier ID 008,Ground Transport,Y,Active
ID-SUP-009,Synthetic Supplier ID 009,Airline,Y,Active
ID-SUP-010,Synthetic Supplier ID 010,Hotel,N,Active
ID-SUP-011,Synthetic Supplier ID 011,Ground Transport,Y,Active
ID-SUP-012,Synthetic Supplier ID 012,Travel Service,Y,Active
ID-SUP-013,Synthetic Supplier ID 013,Hotel,Y,Active
ID-SUP-014,Synthetic Supplier ID 014,Airline,Y,Active
ID-SUP-015,Synthetic Supplier ID 015,Travel Service,Y,Active
ID-SUP-016,Synthetic Supplier ID 016,Hotel,N,Active
ID-SUP-017,Synthetic Supplier ID 017,Ground Transport,Y,Active
ID-SUP-018,Synthetic Supplier ID 018,Ground Transport,Y,Active
ID-SUP-019,Synthetic Supplier ID 019,Ground Transport,Y,Active
ID-SUP-020,Synthetic Supplier ID 020,Hotel,Y,Active
ID-SUP-021,Synthetic Supplier ID 021,Travel Service,Y,Active
ID-SUP-022,Synthetic Supplier ID 022,Airline,Y,Active
ID-SUP-023,Synthetic Supplier ID 023,Travel Service,Y,Active
ID-SUP-024,Synthetic Supplier ID 024,Airline,Y,Inactive
ID-SUP-025,Synthetic Supplier ID 025,Ground Transport,Y,Active
ID-SUP-026,Synthetic Supplier ID 026,Travel Service,Y,Active
ID-SUP-027,Synthetic Supplier ID 027,Ground Transport,N,Active
ID-SUP-028,Synthetic Supplier ID 028,Travel Service,N,Active
ID-SUP-029,Synthetic Supplier ID 029,Airline,Y,Active
ID-SUP-030,Synthetic Supplier ID 030,Travel Service,Y,Active
ID-SUP-031,Synthetic Supplier ID 031,Travel Service,Y,Active
ID-SUP-032,Synthetic Supplier ID 032,Ground Transport,N,Active
ID-SUP-033,Synthetic Supplier ID 033,Airline,Y,Active
ID-SUP-034,Synthetic Supplier ID 034,Airline,Y,Active
ID-SUP-035,Synthetic Supplier ID 035,Travel Service,Y,Active
ID-SUP-036,Synthetic Supplier ID 036,Travel Service,Y,Active
ID-SUP-037,Synthetic Supplier ID 037,Ground Transport,N,Active
ID-SUP-038,Synthetic Supplier ID 038,Airline,Y,Active
ID-SUP-039,Synthetic Supplier ID 039,Ground Transport,Y,Active
ID-SUP-040,Synthetic Supplier ID 040,Travel Service,Y,Active
ID-SUP-041,Synthetic Supplier ID 041,Hotel,Y,Active
ID-SUP-042,Synthetic Supplier ID 042,Hotel,Y,Active
ID-SUP-043,Synthetic Supplier ID 043,Travel Service,Y,Active
ID-SUP-044,Synthetic Supplier ID 044,Airline,N,Active
ID-SUP-045,Synthetic Supplier ID 045,Travel Service,Y,Active
ID-SUP-046,Synthetic Supplier ID 046,Airline,Y,Active
ID-SUP-047,Synthetic Supplier ID 047,Ground Transport,N,Active
ID-SUP-048,Synthetic Supplier ID 048,Travel Service,Y,Active
ID-SUP-049,Synthetic Supplier ID 049,Ground Transport,Y,Active
ID-SUP-050,Synthetic Supplier ID 050,Ground Transport,N,Active
ID-SUP-051,Synthetic Supplier ID 051,Airline,Y,Active
ID-SUP-052,Synthetic Supplier ID 052,Airline,Y,Active
ID-SUP-053,Synthetic Supplier ID 053,Hotel,Y,Active
ID-SUP-054,Synthetic Supplier ID 054,Ground Transport,N,Active
ID-SUP-055,Synthetic Supplier ID 055,Hotel,N,Active
ID-SUP-056,Synthetic Supplier ID 056,Ground Transport,Y,Active
ID-SUP-057,Synthetic Supplier ID 057,Hotel,Y,Active
ID-SUP-058,Synthetic Supplier ID 058,Hotel,N,Active
ID-SUP-059,Synthetic Supplier ID 059,Ground Transport,Y,Active
ID-SUP-060,Synthetic Supplier ID 060,Hotel,Y,Active
ID-SUP-061,Synthetic Supplier ID 061,Airline,Y,Active
ID-SUP-062,Synthetic Supplier ID 062,Ground Transport,Y,Active
ID-SUP-063,Synthetic Supplier ID 063,Airline,N,Active
ID-SUP-064,Synthetic Supplier ID 064,Airline,N,Active
ID-SUP-065,Synthetic Supplier ID 065,Ground Transport,N,Active
ID-SUP-066,Synthetic Supplier ID 066,Travel Service,N,Active
ID-SUP-067,Synthetic Supplier ID 067,Ground Transport,Y,Active
ID-SUP-068,Synthetic Supplier ID 068,Hotel,N,Active
ID-SUP-069,Synthetic Supplier ID 069,Hotel,Y,Active
ID-SUP-070,Synthetic Supplier ID 070,Travel Service,Y,Active
