booking_id,booking_date,travel_date,customer_id,supplier_id,product_type,booking_channel,destination_country,currency,booking_value,revenue,cost,booking_status,agent_id
MY-B00000001,2025-12-02,2025-12-13,MY-C0289,MY-S0034,Air,Online,CN,MYR,1975.77,303.32,253.47,Confirmed,
MY-B00000002,2026-01-01,2026-01-16,MY-C0157,MY-S0024,Hotel,Online,VN,MYR,726.37,101.1,70.8,Confirmed,AG003
MY-B00000003,2024-11-22,2024-12-03,MY-C0074,MY-S0044,Other,Offline,SG,MYR,1040.32,101.22,67.87,Confirmed,AG003
MY-B00000004,2025-06-03,2025-07-09,MY-C0286,MY-S0071,Ground,Online,US,MYR,762.36,80.45,69.75,Confirmed,AG001
MY-B00000005,2026-04-01,2026-04-22,MY-C0137,MY-S0053,Air,Online,VN,MYR,9702.72,1152.76,811.49,Confirmed,AG004
MY-B00000006,2025-11-26,2025-12-21,MY-C0023,MY-S0074,Hotel,Online,ID,MYR,4878.75,420.03,233.14,Confirmed,AG004
MY-B00000007,2024-12-09,2025-01-05,MY-C0252,MY-S0040,Hotel,Offline,SG,MYR,1530.85,111.06,89.44,Confirmed,AG003
MY-B00000008,2024-09-30,2024-10-21,MY-C0076,MY-S0061,Air,Online,AU,MYR,4241.98,359.08,204.17,Confirmed,AG001
MY-B00000009,2025-10-30,2025-11-22,MY-C0031,MY-S0076,Hotel,Online,SG,MYR,710.63,48.86,27.23,Confirmed,AG003
MY-B00000010,2025-08-04,2025-09-08,MY-C0161,MY-S0005,Air,Online,US,MYR,4352.1,402.67,291.98,Confirmed,
MY-B00000011,2026-08-03,2026-08-27,MY-C0193,MY-S0008,Ground,Offline,MY,MYR,3084.38,435.04,361.91,Confirmed,AG005
MY-B00000012,2025-09-17,2025-09-22,MY-C0052,MY-S0062,Air,Offline,JP,MYR,11574.52,1823.5,1285.0,Confirmed,AG003
MY-B00000013,2026-07-12,2026-08-24,MY-C0083,MY-S0034,Air,Offline,SG,MYR,1157.74,143.03,115.16,Confirmed,AG005
MY-B00000014,2025-02-04,2025-02-06,MY-C0196,MY-S0043,Hotel,Online,VN,MYR,1605.77,146.02,95.54,Confirmed,AG001
MY-B00000015,2025-07-24,2025-08-13,MY-C0280,MY-S0045,Air,Offline,ID,MYR,2272.4,203.01,131.13,Confirmed,AG003
MY-B00000016,2024-12-11,2024-12-27,MY-C0059,MY-S0033,Air,Offline,CN,MYR,1212.5,158.06,90.12,Confirmed,AG003
MY-B00000017,2025-10-25,2025-11-04,MY-C0297,MY-S0036,Ground,Offline,TH,MYR,2720.41,217.03,128.57,Confirmed,
MY-B00000018,2025-01-16,2025-02-12,MY-C0080,MY-S0002,Air,Offline,AU,MYR,6024.02,747.93,415.57,Confirmed,AG003
