finance_month,country,revenue,cost,transaction_count,gross_margin
2024-09-01,MY,971074.32,693739.38,3365,277334.94
2024-10-01,MY,921055.3,661432.21,3338,259623.08
2024-11-01,MY,947746.01,673190.22,3301,274555.79
2024-12-01,MY,993738.7,711010.07,3407,282728.63
2025-01-01,MY,955532.8,687195.48,3319,268337.33
2025-02-01,MY,896266.58,642391.08,3130,253875.5
2025-03-01,MY,983056.64,699198.85,3367,283857.79
2025-04-01,MY,944801.21,676240.78,3336,268560.43
2025-05-01,MY,982456.87,703982.63,3409,278474.24
2025-06-01,MY,948265.57,673195.23,3251,275070.34
2025-07-01,MY,968968.59,696963.55,3369,272005.04
2025-08-01,MY,975471.17,698770.99,3322,276700.18
2025-09-01,MY,984177.6,710065.33,3401,274112.27
2025-10-01,MY,952365.36,681455.28,3281,270910.08
2025-11-01,MY,1003094.07,718727.59,3316,284366.48
2025-12-01,MY,1025805.94,729471.64,3423,296334.29
2026-01-01,MY,1008628.13,722914.76,3470,285713.37
2026-02-01,MY,881167.98,635596.28,3091,245571.7
2026-03-01,MY,993016.83,713856.87,3434,279159.96
2026-04-01,MY,968029.42,693203.97,3280,274825.46
2026-05-01,MY,966671.83,693373.55,3363,273298.28
2026-06-01,MY,915234.72,654543.12,3244,260691.61
2026-07-01,MY,992070.74,705178.52,3357,286892.23
2026-08-01,MY,1018471.06,716521.86,3426,301949.2
