period,market,sales_revenue,operating_cost,margin,transactions
2024-09-01,SG,455639.19,326033.03,129606.16,2042
2024-10-01,SG,456340.35,322860.77,133479.58,2082
2024-11-01,SG,446430.56,318605.84,127824.72,2083
2024-12-01,SG,479170.24,339298.32,139871.92,2142
2025-01-01,SG,445321.74,320404.08,124917.66,2056
2025-02-01,SG,408300.05,293476.21,114823.84,1878
2025-03-01,SG,486500.95,345591.83,140909.12,2144
2025-04-01,SG,474062.18,337198.63,136863.55,2140
2025-05-01,SG,480564.64,345850.25,134714.39,2115
2025-06-01,SG,476155.84,344101.27,132054.57,2064
2025-07-01,SG,472218.6,339497.05,132721.55,2147
2025-08-01,SG,453495.24,323735.53,129759.71,2054
2025-09-01,SG,463488.53,335619.81,127868.72,2112
2025-10-01,SG,502554.62,354351.96,148202.66,2194
2025-11-01,SG,432076.31,306412.36,125663.95,2033
2025-12-01,SG,492742.2,351123.08,141619.12,2159
2026-01-01,SG,457821.47,324497.81,133323.66,2098
2026-02-01,SG,426236.12,308159.24,118076.88,1928
2026-03-01,SG,466879.42,332044.85,134834.57,2077
2026-04-01,SG,461814.07,329558.23,132255.84,2066
2026-05-01,SG,492219.06,353855.46,138363.6,2146
2026-06-01,SG,437278.03,313830.68,123447.35,2015
2026-07-01,SG,482742.83,341813.04,140929.79,2126
2026-08-01,SG,475059.64,337734.84,137324.8,2100
