effective_month,currency_code,reporting_currency,rate_to_reporting_currency,rate_type
2024-09-01,MYR,MYR,1.0,synthetic_monthly
2024-10-01,MYR,MYR,1.0,synthetic_monthly
2024-11-01,MYR,MYR,1.0,synthetic_monthly
2024-12-01,MYR,MYR,1.0,synthetic_monthly
2025-01-01,MYR,MYR,1.0,synthetic_monthly
2025-02-01,MYR,MYR,1.0,synthetic_monthly
2025-03-01,MYR,MYR,1.0,synthetic_monthly
2025-04-01,MYR,MYR,1.0,synthetic_monthly
2025-05-01,MYR,MYR,1.0,synthetic_monthly
2025-06-01,MYR,MYR,1.0,synthetic_monthly
2025-07-01,MYR,MYR,1.0,synthetic_monthly
2025-08-01,MYR,MYR,1.0,synthetic_monthly
2025-09-01,MYR,MYR,1.0,synthetic_monthly
2025-10-01,MYR,MYR,1.0,synthetic_monthly
2025-11-01,MYR,MYR,1.0,synthetic_monthly
2025-12-01,MYR,MYR,1.0,synthetic_monthly
2026-01-01,MYR,MYR,1.0,synthetic_monthly
2026-02-01,MYR,MYR,1.0,synthetic_monthly
2026-03-01,MYR,MYR,1.0,synthetic_monthly
2026-04-01,MYR,MYR,1.0,synthetic_monthly
2026-05-01,MYR,MYR,1.0,synthetic_monthly
2026-06-01,MYR,MYR,1.0,synthetic_monthly
2026-07-01,MYR,MYR,1.0,synthetic_monthly
2026-08-01,MYR,MYR,1.0,synthetic_monthly
2024-09-01,SGD,MYR,3.46051274,synthetic_monthly
2024-10-01,SGD,MYR,3.42452396,synthetic_monthly
2024-11-01,SGD,MYR,3.45022334,synthetic_monthly
2024-12-01,SGD,MYR,3.48267492,synthetic_monthly
2025-01-01,SGD,MYR,3.41472671,synthetic_monthly
2025-02-01,SGD,MYR,3.37026084,synthetic_monthly
2025-03-01,SGD,MYR,3.37456939,synthetic_monthly
2025-04-01,SGD,MYR,3.36389757,synthetic_monthly
2025-05-01,SGD,MYR,3.36333239,synthetic_monthly
2025-06-01,SGD,MYR,3.33464169,synthetic_monthly
2025-07-01,SGD,MYR,3.36396646,synthetic_monthly
2025-08-01,SGD,MYR,3.39013112,synthetic_monthly
2025-09-01,SGD,MYR,3.39236965,synthetic_monthly
2025-10-01,SGD,MYR,3.43060984,synthetic_monthly
2025-11-01,SGD,MYR,3.44664826,synthetic_monthly
2025-12-01,SGD,MYR,3.41703147,synthetic_monthly
2026-01-01,SGD,MYR,3.4296318,synthetic_monthly
2026-02-01,SGD,MYR,3.39674566,synthetic_monthly
2026-03-01,SGD,MYR,3.42658438,synthetic_monthly
2026-04-01,SGD,MYR,3.42487363,synthetic_monthly
2026-05-01,SGD,MYR,3.41854232,synthetic_monthly
2026-06-01,SGD,MYR,3.39526446,synthetic_monthly
2026-07-01,SGD,MYR,3.43677297,synthetic_monthly
2026-08-01,SGD,MYR,3.43146214,synthetic_monthly
2024-09-01,IDR,MYR,0.00028876,synthetic_monthly
2024-10-01,IDR,MYR,0.00028774,synthetic_monthly
2024-11-01,IDR,MYR,0.00028927,synthetic_monthly
2024-12-01,IDR,MYR,0.00029033,synthetic_monthly
2025-01-01,IDR,MYR,0.00029153,synthetic_monthly
2025-02-01,IDR,MYR,0.00029278,synthetic_monthly
2025-03-01,IDR,MYR,0.00029905,synthetic_monthly
2025-04-01,IDR,MYR,0.00029784,synthetic_monthly
2025-05-01,IDR,MYR,0.00029631,synthetic_monthly
2025-06-01,IDR,MYR,0.0002939,synthetic_monthly
2025-07-01,IDR,MYR,0.00029571,synthetic_monthly
2025-08-01,IDR,MYR,0.00029905,synthetic_monthly
2025-09-01,IDR,MYR,0.00029871,synthetic_monthly
2025-10-01,IDR,MYR,0.0002962,synthetic_monthly
2025-11-01,IDR,MYR,0.00029376,synthetic_monthly
2025-12-01,IDR,MYR,0.00029567,synthetic_monthly
2026-01-01,IDR,MYR,0.00029787,synthetic_monthly
2026-02-01,IDR,MYR,0.00029949,synthetic_monthly
2026-03-01,IDR,MYR,0.00029749,synthetic_monthly
2026-04-01,IDR,MYR,0.00029818,synthetic_monthly
2026-05-01,IDR,MYR,0.00029853,synthetic_monthly
2026-06-01,IDR,MYR,0.00029918,synthetic_monthly
2026-07-01,IDR,MYR,0.00030179,synthetic_monthly
2026-08-01,IDR,MYR,0.00030247,synthetic_monthly
