source_country,local_customer_id,regional_customer_id,mapping_type,mapping_status,mapping_source,effective_from,effective_to
MY,MY-C0001,RCUST-00001,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0002,RCUST-00002,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0003,RCUST-00003,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0004,RCUST-00004,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0005,RCUST-00005,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0006,RCUST-00006,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0007,RCUST-00007,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0008,RCUST-00008,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0009,RCUST-00009,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0010,RCUST-00010,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0011,RCUST-00011,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0012,RCUST-00012,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0013,RCUST-00013,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0014,RCUST-00014,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0015,RCUST-00015,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0016,RCUST-00016,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0017,RCUST-00017,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0018,RCUST-00018,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0019,RCUST-00019,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0020,RCUST-00020,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0021,RCUST-00021,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0022,RCUST-00022,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0023,RCUST-00023,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0024,RCUST-00024,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0025,RCUST-00025,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0026,RCUST-00026,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0027,RCUST-00027,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0028,RCUST-00028,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0029,RCUST-00029,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0030,RCUST-00030,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0031,RCUST-00031,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0032,RCUST-00032,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0033,RCUST-00033,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
MY,MY-C0034,RCUST-00034,SYNTHETIC_REGIONAL_GROUP,APPROVED_SYNTHETIC,PORTFOLIO_MASTER_DATA_RULE,2024-09-01,
